metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
netdata.workers.dbengine.jobs_started_by_type,,"noop, query, extent write, extent read, flushed to open, db rotate, journal index, flush init, evict init, ctx shutdown, ctx quiesce, get opcode, query cb, extent write cb, extent read cb, flushed to open cb, db rotate cb, journal index cb, flush init cb, evict init cb, ctx shutdown cb, ctx quiesce cb, timer, transaction buffer flush cb",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_dbengine),stacked,,netdata,stats
netdata.workers.dbengine.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_dbengine),area,,netdata,stats
netdata.workers.dbengine.time_by_type,,"noop, query, extent write, extent read, flushed to open, db rotate, journal index, flush init, evict init, ctx shutdown, ctx quiesce, get opcode, query cb, extent write cb, extent read cb, flushed to open cb, db rotate cb, journal index cb, flush init cb, evict init cb, ctx shutdown cb, ctx quiesce cb, timer, transaction buffer flush cb",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_dbengine),stacked,,netdata,stats
netdata.workers.dbengine.value.opcodes_waiting,,"min, max, average",opcodes,Netdata Workers dbengine value of opcodes waiting (netdata.workers_dbengine_value_opcodes_waiting),line,,netdata,stats
netdata.workers.dbengine.value.works_dispatched,,"min, max, average",works,Netdata Workers dbengine value of works dispatched (netdata.workers_dbengine_value_works_dispatched),line,,netdata,stats
netdata.workers.dbengine.value.works_executing,,"min, max, average",works,Netdata Workers dbengine value of works executing (netdata.workers_dbengine_value_works_executing),line,,netdata,stats
netdata.workers.diskspace.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_diskspace),area,,netdata,stats
netdata.workers.diskspace.jobs_started_by_type,,"mountinfo, mountpoint, cleanup",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_diskspace),stacked,,netdata,stats
netdata.workers.diskspace.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_diskspace),area,,netdata,stats
netdata.workers.diskspace.time_by_type,,"mountinfo, mountpoint, cleanup",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_diskspace),stacked,,netdata,stats
netdata.workers.health.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_health),area,,netdata,stats
netdata.workers.health.jobs_started_by_type,,"rrd lock, host lock, db lookup, calc eval, warning eval, critical eval, alarm log entry, alarm log process, rrdset init, rrddim init",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_health),stacked,,netdata,stats
netdata.workers.health.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_health),area,,netdata,stats
netdata.workers.health.time_by_type,,"rrd lock, host lock, db lookup, calc eval, warning eval, critical eval, alarm log entry, alarm log process, rrdset init, rrddim init",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_health),stacked,,netdata,stats
netdata.workers.idlejitter.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_idlejitter),area,,netdata,stats
netdata.workers.idlejitter.jobs_started_by_type,,measurements,jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_idlejitter),stacked,,netdata,stats
netdata.workers.idlejitter.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_idlejitter),area,,netdata,stats
netdata.workers.idlejitter.time_by_type,,measurements,ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_idlejitter),stacked,,netdata,stats
netdata.workers.libuv.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_libuv),area,,netdata,stats
netdata.workers.libuv.jobs_started_by_type,,"worker init, query, extent cache, extent mmap, extent decompression, page lookup, page populate, page allocate, flush main, extent write, flushed to open, jv2 index wait, jv2 indexing, datafile delete wait, datafile deletion, find rotated metrics, find remaining retention, update retention, evict main, dbengine buffers cleanup, dbengine quiesce, dbengine shutdown, metadata load host context, metadata store host, metadata cleanup, schedule command",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_libuv),stacked,,netdata,stats
netdata.workers.libuv.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_libuv),stacked,,netdata,stats
netdata.workers.libuv.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_libuv),area,,netdata,stats
netdata.workers.libuv.time_by_type,,"worker init, query, extent cache, extent mmap, extent decompression, page lookup, page populate, page allocate, flush main, extent write, flushed to open, jv2 index wait, jv2 indexing, datafile delete wait, datafile deletion, find rotated metrics, find remaining retention, update retention, evict main, dbengine buffers cleanup, dbengine quiesce, dbengine shutdown, metadata load host context, metadata store host, metadata cleanup, schedule command",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_libuv),stacked,,netdata,stats
netdata.workers.metasync.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_metasync),area,,netdata,stats
netdata.workers.metasync.jobs_started_by_type,,"noop, timer, delete dimension, add claim id, add host info, maintenance, ml load models",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_metasync),stacked,,netdata,stats
netdata.workers.metasync.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_metasync),area,,netdata,stats
netdata.workers.metasync.time_by_type,,"noop, timer, delete dimension, add claim id, add host info, maintenance, ml load models",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_metasync),stacked,,netdata,stats
netdata.workers.mldetect.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_mldetect),area,,netdata,stats
netdata.workers.mldetect.jobs_started_by_type,,"collect stats, dim chart, host chart, training stats",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_mldetect),stacked,,netdata,stats
netdata.workers.mldetect.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_mldetect),area,,netdata,stats
netdata.workers.mldetect.time_by_type,,"collect stats, dim chart, host chart, training stats",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_mldetect),stacked,,netdata,stats
netdata.workers.mltrain.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_mltrain),area,,netdata,stats
netdata.workers.mltrain.jobs_started_by_type,,"pop queue, acquire, query, kmeans, update models, release, update host, flush models",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_mltrain),stacked,,netdata,stats
netdata.workers.mltrain.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_mltrain),stacked,,netdata,stats
netdata.workers.mltrain.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_mltrain),area,,netdata,stats
netdata.workers.mltrain.time_by_type,,"pop queue, acquire, query, kmeans, update models, release, update host, flush models",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_mltrain),stacked,,netdata,stats
netdata.workers.netdev.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_netdev),area,,netdata,stats
netdata.workers.netdev.jobs_started_by_type,,netdev,jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_netdev),stacked,,netdata,stats
netdata.workers.netdev.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_netdev),area,,netdata,stats
netdata.workers.netdev.time_by_type,,netdev,ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_netdev),stacked,,netdata,stats
netdata.workers.pluginsd.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_pluginsd),area,,netdata,stats
netdata.workers.pluginsd.jobs_started_by_type,,"FLUSH, DISABLE, HOST_DEFINE, HOST_DEFINE_END, HOST_LABEL, HOST, EXIT, CHART, DIMENSION, VARIABLE, LABEL, OVERWRITE, CLABEL_COMMIT, CLABEL, FUNCTION, FUNCTION_RESULT_BEGIN, BEGIN, SET, END",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_pluginsd),stacked,,netdata,stats
netdata.workers.pluginsd.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_pluginsd),stacked,,netdata,stats
netdata.workers.pluginsd.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_pluginsd),area,,netdata,stats
netdata.workers.pluginsd.time_by_type,,"FLUSH, DISABLE, HOST_DEFINE, HOST_DEFINE_END, HOST_LABEL, HOST, EXIT, CHART, DIMENSION, VARIABLE, LABEL, OVERWRITE, CLABEL_COMMIT, CLABEL, FUNCTION, FUNCTION_RESULT_BEGIN, BEGIN, SET, END",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_pluginsd),stacked,,netdata,stats
netdata.workers.proc.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_proc),area,,netdata,stats
netdata.workers.proc.jobs_started_by_type,,"stat, uptime, loadavg, entropy, pressure, interrupts, softirqs, vmstat, meminfo, ksm, zram, ecc, numa, pagetypeinfo, netwireless, sockstat, sockstat6, netstat, sctp, softnet, ipvs, infiniband, conntrack, synproxy, diskstats, mdstat, nfsd, nfs, zfs_arcstats, zfs_pool_state, btrfs, ipc, power_supply",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_proc),stacked,,netdata,stats
netdata.workers.proc.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_proc),area,,netdata,stats
netdata.workers.proc.time_by_type,,"stat, uptime, loadavg, entropy, pressure, interrupts, softirqs, vmstat, meminfo, ksm, zram, ecc, numa, pagetypeinfo, netwireless, sockstat, sockstat6, netstat, sctp, softnet, ipvs, infiniband, conntrack, synproxy, diskstats, mdstat, nfsd, nfs, zfs_arcstats, zfs_pool_state, btrfs, ipc, power_supply",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_proc),stacked,,netdata,stats
netdata.workers.replication.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_replication),area,,netdata,stats
netdata.workers.replication.jobs_started_by_type,,"find next, querying, dict delete, find chart, prepare query, check consistency, commit, cleanup, wait, statistics",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_replication),stacked,,netdata,stats
netdata.workers.replication.rate.added_requests,,"min, max, average",requests/s,Netdata Workers replication rate of added requests (netdata.workers_replication_rate_added_requests),line,,netdata,stats
netdata.workers.replication.rate.finished_requests,,"min, max, average",requests/s,Netdata Workers replication rate of finished requests (netdata.workers_replication_rate_finished_requests),line,,netdata,stats
netdata.workers.replication.rate.sender_resets,,"min, max, average",resets/s,Netdata Workers replication rate of sender resets (netdata.workers_replication_rate_sender_resets),line,,netdata,stats
netdata.workers.replication.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_replication),stacked,,netdata,stats
netdata.workers.replication.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_replication),area,,netdata,stats
netdata.workers.replication.time_by_type,,"find next, querying, dict delete, find chart, prepare query, check consistency, commit, cleanup, wait, statistics",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_replication),stacked,,netdata,stats
netdata.workers.replication.value.completion,,"min, max, average",%,Netdata Workers replication value of completion (netdata.workers_replication_value_completion),line,,netdata,stats
netdata.workers.replication.value.no_room_requests,,"min, max, average",requests,Netdata Workers replication value of no room requests (netdata.workers_replication_value_no_room_requests),line,,netdata,stats
netdata.workers.replication.value.pending_requests,,"min, max, average",requests,Netdata Workers replication value of pending requests (netdata.workers_replication_value_pending_requests),line,,netdata,stats
netdata.workers.replication.value.senders_full,,"min, max, average",senders,Netdata Workers replication value of senders full (netdata.workers_replication_value_senders_full),line,,netdata,stats
netdata.workers.rrdcontext.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_rrdcontext),area,,netdata,stats
netdata.workers.rrdcontext.jobs_started_by_type,,"hosts, dedup checks, sent contexts, deduplicated contexts, metrics retention, queued contexts, cleanups, deletes, check metrics, check instances, check contexts",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_rrdcontext),stacked,,netdata,stats
netdata.workers.rrdcontext.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_rrdcontext),area,,netdata,stats
netdata.workers.rrdcontext.time_by_type,,"hosts, dedup checks, sent contexts, deduplicated contexts, metrics retention, queued contexts, cleanups, deletes, check metrics, check instances, check contexts",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_rrdcontext),stacked,,netdata,stats
netdata.workers.rrdcontext.value.hub_queue_size,,"min, max, average",contexts,Netdata Workers rrdcontext value of hub queue size (netdata.workers_rrdcontext_value_hub_queue_size),line,,netdata,stats
netdata.workers.rrdcontext.value.post_processing_queue_size,,"min, max, average",contexts,Netdata Workers rrdcontext value of post processing queue size (netdata.workers_rrdcontext_value_post_processing_queue_size),line,,netdata,stats
netdata.workers.service.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_service),area,,netdata,stats
netdata.workers.service.jobs_started_by_type,,"child chart obsoletion check, cleanup obsolete charts, archive chart, archive chart dimensions, archive dimension, cleanup orphan hosts, cleanup obsolete charts on all hosts, free host, save host charts, delete host charts, free chart, save chart, delete chart, free dimension, main cache evictions, main cache flushes, open cache evictions, open cache flushes",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_service),stacked,,netdata,stats
netdata.workers.service.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_service),area,,netdata,stats
netdata.workers.service.time_by_type,,"child chart obsoletion check, cleanup obsolete charts, archive chart, archive chart dimensions, archive dimension, cleanup orphan hosts, cleanup obsolete charts on all hosts, free host, save host charts, delete host charts, free chart, save chart, delete chart, free dimension, main cache evictions, main cache flushes, open cache evictions, open cache flushes",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_service),stacked,,netdata,stats
netdata.workers.stats.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_stats),area,,netdata,stats
netdata.workers.stats.jobs_started_by_type,,"global, registry, workers, dbengine, strings, dictionaries, malloc_trace, sqlite3",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_stats),stacked,,netdata,stats
netdata.workers.stats.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_stats),stacked,,netdata,stats
netdata.workers.stats.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_stats),area,,netdata,stats
netdata.workers.stats.time_by_type,,"global, registry, workers, dbengine, strings, dictionaries, malloc_trace, sqlite3",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_stats),stacked,,netdata,stats
netdata.workers.statsd.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_statsd),area,,netdata,stats
netdata.workers.statsd.jobs_started_by_type,,"tcp connect, tcp disconnect, receive, send",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_statsd),stacked,,netdata,stats
netdata.workers.statsd.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_statsd),area,,netdata,stats
netdata.workers.statsd.time_by_type,,"tcp connect, tcp disconnect, receive, send",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_statsd),stacked,,netdata,stats
netdata.workers.statsdflush.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_statsdflush),area,,netdata,stats
netdata.workers.statsdflush.jobs_started_by_type,,"gauges, counters, meters, timers, histograms, sets, dictionaries, statistics",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_statsdflush),stacked,,netdata,stats
netdata.workers.statsdflush.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_statsdflush),area,,netdata,stats
netdata.workers.statsdflush.time_by_type,,"gauges, counters, meters, timers, histograms, sets, dictionaries, statistics",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_statsdflush),stacked,,netdata,stats
netdata.workers.streamrcv.cpu,,"average, min, max",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_streamrcv),area,,netdata,stats
netdata.workers.streamrcv.jobs_started_by_type,,"CHART, DIMENSION, VARIABLE, LABEL, OVERWRITE, CLABEL_COMMIT, CLABEL, FUNCTION, FUNCTION_RESULT_BEGIN, BEGIN, SET, END, CHART_DEFINITION_END, RBEGIN, RSET, RDSTATE, RSSTATE, REND, BEGIN2, SET2, END2, CLAIMED_ID",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_streamrcv),stacked,,netdata,stats
netdata.workers.streamrcv.rate.received_bytes,,"min, max, average",bytes/s,Netdata Workers streamrcv rate of received bytes (netdata.workers_streamrcv_rate_received_bytes),line,,netdata,stats
netdata.workers.streamrcv.rate.uncompressed_bytes,,"min, max, average",bytes/s,Netdata Workers streamrcv rate of uncompressed bytes (netdata.workers_streamrcv_rate_uncompressed_bytes),line,,netdata,stats
netdata.workers.streamrcv.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_streamrcv),stacked,,netdata,stats
netdata.workers.streamrcv.time,,"average, min, max",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_streamrcv),area,,netdata,stats
netdata.workers.streamrcv.time_by_type,,"CHART, DIMENSION, VARIABLE, LABEL, OVERWRITE, CLABEL_COMMIT, CLABEL, FUNCTION, FUNCTION_RESULT_BEGIN, BEGIN, SET, END, CHART_DEFINITION_END, RBEGIN, RSET, RDSTATE, RSSTATE, REND, BEGIN2, SET2, END2, CLAIMED_ID",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_streamrcv),stacked,,netdata,stats
netdata.workers.streamrcv.value.replication_completion,,"min, max, average",%,Netdata Workers streamrcv value of replication completion (netdata.workers_streamrcv_value_replication_completion),line,,netdata,stats
netdata.workers.streamsnd.cpu,,"average, min, max",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_streamsnd),area,,netdata,stats
netdata.workers.streamsnd.jobs_started_by_type,,"connect, pipe read, receive, execute, send, disconnect bad handshake, disconnect overflow, disconnect timeout, disconnect poll error, disconnect socket error, disconnect ssl error, disconnect parent closed, disconnect receive error, disconnect send error, disconnect no compression, replay request, function",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_streamsnd),stacked,,netdata,stats
netdata.workers.streamsnd.rate.bytes_received,,"min, max, average",bytes/s,Netdata Workers streamsnd rate of bytes received (netdata.workers_streamsnd_rate_bytes_received),line,,netdata,stats
netdata.workers.streamsnd.rate.bytes_sent,,"min, max, average",bytes/s,Netdata Workers streamsnd rate of bytes sent (netdata.workers_streamsnd_rate_bytes_sent),line,,netdata,stats
netdata.workers.streamsnd.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_streamsnd),stacked,,netdata,stats
netdata.workers.streamsnd.time,,"average, min, max",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_streamsnd),area,,netdata,stats
netdata.workers.streamsnd.time_by_type,,"connect, pipe read, receive, execute, send, disconnect bad handshake, disconnect overflow, disconnect timeout, disconnect poll error, disconnect socket error, disconnect ssl error, disconnect parent closed, disconnect receive error, disconnect send error, disconnect no compression, replay request, function",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_streamsnd),stacked,,netdata,stats
netdata.workers.streamsnd.value.replication_dict_entries,,"min, max, average",entries,Netdata Workers streamsnd value of replication dict entries (netdata.workers_streamsnd_value_replication_dict_entries),line,,netdata,stats
netdata.workers.streamsnd.value.used_buffer_ratio,,"min, max, average",%,Netdata Workers streamsnd value of used buffer ratio (netdata.workers_streamsnd_value_used_buffer_ratio),line,,netdata,stats
netdata.workers.tc.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_tc),area,,netdata,stats
netdata.workers.tc.jobs_started_by_type,,"class, begin, end, sent, lended, tokens, devicename, devicegroup, classname, worktime",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_tc),stacked,,netdata,stats
netdata.workers.tc.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_tc),area,,netdata,stats
netdata.workers.tc.time_by_type,,"class, begin, end, sent, lended, tokens, devicename, devicegroup, classname, worktime",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_tc),stacked,,netdata,stats
netdata.workers.tc.value.number_of_classes,,"min, max, average",classes,Netdata Workers tc value of number of classes (netdata.workers_tc_value_number_of_classes),line,,netdata,stats
netdata.workers.tc.value.number_of_devices,,"min, max, average",devices,Netdata Workers tc value of number of devices (netdata.workers_tc_value_number_of_devices),line,,netdata,stats
netdata.workers.tc.value.tc_script_execution_time,,"min, max, average",milliseconds/run,Netdata Workers tc value of tc script execution time (netdata.workers_tc_value_tc_script_execution_time),line,,netdata,stats
netdata.workers.timex.cpu,,average,%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_timex),area,,netdata,stats
netdata.workers.timex.jobs_started_by_type,,clock check,jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_timex),stacked,,netdata,stats
netdata.workers.timex.time,,average,%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_timex),area,,netdata,stats
netdata.workers.timex.time_by_type,,clock check,ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_timex),stacked,,netdata,stats
netdata.workers.web.cpu,,"min, max, average",%,Netdata Workers CPU Utilization (100% = all workers busy) (netdata.workers_cpu_web),area,,netdata,stats
netdata.workers.web.jobs_started_by_type,,"connect, disconnect, file start, file end, file read, file write, receive, send, process",jobs,Netdata Workers Jobs Started by Type (netdata.workers_jobs_by_type_web),stacked,,netdata,stats
netdata.workers.web.threads,,"free, busy",threads,Netdata Workers Threads (netdata.workers_threads_web),stacked,,netdata,stats
netdata.workers.web.time,,"min, max, average",%,Netdata Workers Busy Time (100% = all workers busy) (netdata.workers_time_web),area,,netdata,stats
netdata.workers.web.time_by_type,,"connect, disconnect, file start, file end, file read, file write, receive, send, process",ms,Netdata Workers Busy Time by Type (netdata.workers_busy_time_by_type_web),stacked,,netdata,stats
